Province,City,District,Sub-District,Street,Sqm,Rooms,Floor,Year Built,Price,Price per SqM
Harjumaa,Tallinn,Kesklinn,,Pärnu mnt 137-174,31.9,1,10/12,2024,161000,5047
Harjumaa,Tallinn,Lasnamäe,,Kivila 13,80.2,4,4/9,1986,179900,2243
Harjumaa,Tallinn,Kesklinn,Veerenni,Pille 20,63,3,1/2,1958,179000,2841
Ida-Virumaa,Narva,,,P. Kerese tn 13,48.2,3,3/4,1963,16500,342
Harjumaa,Tallinn,Lasnamäe,,J. Koorti tn 18,82.3,4,5/16,1992,155000,1883
Harjumaa,Tallinn,Mustamäe,Uus-Mustamäe,Aiandi 14-36,62,3,7/9,2024,271990,4387
Pärnumaa,Pärnu,Kesklinn,,Riia mnt 33,53.6,2,2/3,,79000,1474
Ida-Virumaa,Toila vald,Kohtla-Nõmme,,Kooli tn 7,83.3,4,2/3,1958,17000,204
Harjumaa,Tallinn,Kesklinn,,Luha tn 39,53,2,3/3,2024,256000,4830
Harjumaa,Tallinn,Lasnamäe,Kuristiku,K. Kärberi 7,66.8,3,3/5,1984,120000,1796
Jõgevamaa,Jõgeva vald,Jõgeva linn,,Pae 7-21,75.9,3,2/3,1982,43000,567
Harjumaa,Tallinn,Lasnamäe,,Mahtra tn 20,69.5,3,1/5,,153000,2201
Harjumaa,Tallinn,Kesklinn,,Pirita tee 20/4-54,64.4,2,4/5,2025,402000,6242
Harjumaa,Tallinn,Kristiine,,Sõpruse pst 159b,97.6,4,7/8,2004,328000,3361
Harjumaa,Tallinn,Haabersti,,Rõugu tn 22,90.5,4,1/4,2021,355000,3923
Tartumaa,Tartu,Tartu linn,Raadi-Kruusamäe,Staadioni 65a,61.4,2,2/3,2021,249000,4055
Harjumaa,Tallinn,Lasnamäe,,Kärberi 34b,77.2,3,6/7,1995,135000,1749
Lääne-Virumaa,Rakvere,,,Rägavere tee 41,63.8,3,2/2,1950,59400,931
Harjumaa,Jõelähtme vald,Loo alevik,,Saha tee 8-1,26.5,1,3/2,2026,109900,4147
Viljandimaa,Viljandi,,,Kivi 5,57.3,2,2/2,,124999,2181
Harjumaa,Tallinn,Kesklinn,Juhkentali,Võistluse tn 6/2-79,71.6,3,6/14,2020,244900,3420
Pärnumaa,Tori vald,Sindi linn,,Pärnu mnt 49-2,52.9,2,1/3,2024,155000,2930
Ida-Virumaa,Narva-Jõesuu,Narva-Jõesuu linn,,Karja tn 26,48.8,2,5/5,1988,45000,922
Harjumaa,Keila,,,Allika tn 7-10,47.1,2,2/5,2024,169900,3607
Harjumaa,Tallinn,Kadriorg,,Narva mnt 120-31,26.2,1,3/5,2025,145000,5534
Harjumaa,Tallinn,Kesklinn,,Liivamäe 4,32.9,1,7/8,1978,133000,4043
Harjumaa,Tallinn,Kesklinn,,Jakobi tn 22,25.3,1,1/2,1912,73900,2921
Pärnumaa,Pärnu,Kesklinn,,Pikk 16,30,1,3/4,2020,124000,4133
Lääne-Virumaa,Tapa vald,Tamsalu linn,,Ääsi tn 13,62.8,3,3/5,1978,18000,287
Harjumaa,Viimsi vald,Haabneeme,,Merelaine tee 2,67.9,3,5/5,2001,179000,2636
Harjumaa,Tallinn,Kesklinn,Uus Maailm,Koidu 122,40.6,1,4/4,1954,125000,3079
Harjumaa,Tallinn,Haabersti,Pikaliiva,Pikaliiva tn 9-24,66,3,3/4,2024,259990,3939
Harjumaa,Tallinn,Põhja-Tallinn,,Roo 44,70.9,3,1/3,1940,194000,2736
Harjumaa,Harku vald,Muraste,,Muraste tee 11,34.1,1,3/3,2020,80000,2346
Ida-Virumaa,Kohtla-Järve,Järve,,L. Koidula tn 3,49.6,2,2/2,1955,23900,482
Harjumaa,Tallinn,Kesklinn,,Pirita tee 20/4-58,91,3,5/5,2025,531000,5835
Harjumaa,Tallinn,,,Liikuri tn 8a,60.9,2,5/7,2006,159900,2626
Pärnumaa,Pärnu,Kesklinn,,Vana-Sauga 2-3,54,3,1/4,1870,200000,3704
Harjumaa,Tallinn,Kesklinn,Tõnismäe,Kaarli pst 9,160.2,5,3/4,1953,450000,2809
Harjumaa,Tallinn,Kesklinn,,Herne tn 23,66.2,2,1/4,2007,269000,4063
Harjumaa,Tallinn,Põhja-Tallinn,,Sõle tn 41,48.9,2,8/9,1972,100000,2045
Harjumaa,Tallinn,Mustamäe,,Aiandi tn 9/2,46.1,2,2/4,2023,202900,4401
Harjumaa,Viimsi vald,Viimsi,,Pargi põik 6,50.6,2,2/3,1979,159000,3142
Tartumaa,Peipsiääre vald,Alatskivi,,Veskiküla tn 1-3,58.4,0,,,11500,197
Pärnumaa,Pärnu,Paikuse,,Pärnade puiestee 14,37.6,1,1/3,2006,109000,2899
Harjumaa,Tallinn,Kesklinn,,Liivalaia 7,98.1,4,1/5,,375000,3823
Pärnumaa,Tori vald,Sauga,,Hirvela 13-15,67.9,3,3/4,2023,195000,2872
Harjumaa,Viimsi vald,Laiaküla,,Viieaia tee 11/1,46.9,2,2/3,2022,179900,3836
Harjumaa,Tallinn,Kesklinn,,Pärnu mnt 137-17,44.7,2,6/16,2024,194700,4356
Pärnumaa,Pärnu,Pärnu linn,Kesklinn,Hospidali 14,58.1,2,2/3,1940,139000,2392
Harjumaa,Kiili vald,Kiili,,Karja tn 2-3,95.6,4,1/2,2026,339000,3546
Harjumaa,Tallinn,Lasnamäe,Seli,Ümera tn 21,32.7,1,3/5,1986,95000,2905
Pärnumaa,Lääneranna vald,Lihula linn,,Tööstuse 2,27.7,1,3/3,1985,15000,542
Harjumaa,Tallinn,Põhja-Tallinn,,Väike-Patarei tn 10b,62.3,2,3/3,1962,233000,3740
Pärnumaa,Pärnu,,,A. H. Tammsaare pst 22/1,64.2,3,3/3,2018,320000,4984
Tartumaa,Tartu,Tartu linn,Kesklinn,Riia tn 20a,39,2,6/8,2022,199000,5103
Harjumaa,Tallinn,Kristiine,Kristiine City,Talli tn 3-11,100.3,4,2/7,2025,362083,3610
Harjumaa,Tallinn,Mustamäe,,J. Sütiste tee 14,56.8,3,4/9,1969,137000,2412
Harjumaa,Harku vald,Tiskre,Tallinn,Taverni tee 2/2,44.9,2,2/3,2020,169900,3784
Harjumaa,Tallinn,Kesklinn,,Narva mnt 5-85,67.9,2,4/8,2007,257000,3785
Harjumaa,Tallinn,Kesklinn,Kompassi,Gonsiori 13,47.7,2,4/5,1961,164000,3438
Harjumaa,Tallinn,Haabersti,,Saadu 11,53.9,3,2/2,2021,234900,4358
Tartumaa,Tartu,Tartu linn,Ropka tööstusrajoon,Aardla tn 4-9,9.6,1,1/2,1977,41000,4271
Harjumaa,Tallinn,Haabersti,Kodulahe,Soodi tn 6/3-1,77.9,3,1/4,2025,345000,4429
Pärnumaa,Pärnu,Pärnu linn,Mai,Mai 73,84.3,4,3/3,2024,318000,3772
Harjumaa,Tallinn,Kesklinn,Veerenni,Pille tn 11/6-125,34.3,1,1/4,2023,173900,5070
Harjumaa,Tallinn,Haabersti,,Hanijala tn 9/2-19,76,3,3/3,2024,269900,3551
Harjumaa,Tallinn,Põhja-Tallinn,Kalamaja,Uus-Volta 7-13,32,1,2/3,2025,189900,5934
Harjumaa,Tallinn,Lasnamäe,,Kihnu tn 16,49.4,2,1/9,1994,104900,2123
Harjumaa,Tallinn,Kesklinn,,Juhkentali tn 14-26/27,113.9,4,5/5,2025,698000,6128
Harjumaa,Tallinn,Pirita,,Põõsa tee 3/5-7,55.5,2,3/3,2023,285000,5135
Läänemaa,Haapsalu,Haapsalu linn,,Lihula mnt 21,20.9,1,1/2,1972,45000,2153
Tartumaa,Tartu,Tartu linn,Raadi-Kruusamäe,Erminurme tee 14-12,57,2,2/3,2023,174900,3068
Tartumaa,Tartu,Tartu linn,Annelinn,Mõisavahe 63,77.7,4,5/5,1992,139900,1801
Valgamaa,Otepää vald,Otepää linn,,Lille 6,230.3,5,0/2,2014,143900,625
Pärnumaa,Pärnu,Pärnu linn,Mai,Mai tn 67-13,50.7,2,4/10,2023,127000,2505
Harjumaa,Tallinn,Kesklinn,Sinu Uus Maailm!,Toom-Kuninga tn 26/1-1,100.3,4,1/2,2024,430000,4287
Harjumaa,Tallinn,Lasnamäe,Sikupilli,Kivimurru 11,60.9,3,2/5,1969,149000,2447
Harjumaa,Tallinn,Kristiine,,Vindi tn 11,74.1,4,3/5,1976,235000,3171
Harjumaa,Maardu,,,Avar 8-8,82.5,3,1/4,2025,223000,2703
Pärnumaa,Pärnu,Pärnu linn,Kesklinn,Riia mnt 78,71.9,4,3/5,1999,135000,1878
Raplamaa,Märjamaa vald,Märjamaa,,Pärnu mnt 127,43.3,2,2/2,1970,27000,624
Tartumaa,Tartu,Tartu linn,,Teemandi tn 9,65.8,3,5/5,1985,125000,1900
Viljandimaa,Viljandi,,,Lääne tn 6,61.5,3,4/5,1969,59000,959
Harjumaa,Tallinn,Põhja-Tallinn,Kalaranna Kvartal,Kalaranna tn 8/5-15,35,1,1/5,2024,315000,9000
Harjumaa,Tallinn,Põhja-Tallinn,,Manufaktuuri tn 5-319,90.4,4,3/5,2026,471450,5215
Harjumaa,Rae vald,Järveküla,,Kaare tee 3/1,40,1,3/4,2015,119000,2975
Ida-Virumaa,Kohtla-Järve,Ahtme,,Kasteheina tn 6,79.4,4,2/9,1991,74900,943
Harjumaa,Tallinn,Kristiine,,Mustamäe tee 3a,57.6,2,12/14,2019,290000,5035
Harjumaa,Kiili vald,Luige,,Männi 1a/1,67.1,3,2/2,2007,180000,2683
Võrumaa,Rõuge vald,Misso-Saika,,Pugola tn 14-11,57.6,3,2/2,1984,10000,174
Harjumaa,Tallinn,Kristiine,Lilleküla,Sõpruse pst 26-1,73.4,3,2/5,2024,329000,4482
Harjumaa,Maardu,,,Veeru tn 20,32.8,1,6/9,1992,59900,1826
Viljandimaa,Viljandi,,,Itaalia tn 2-2,58.2,3,1/2,2025,155000,2663
Pärnumaa,Pärnu,Kesklinn,,Pikk 16,69.6,3,3/4,2020,249000,3578
Pärnumaa,Pärnu,Pärnu linn,Tammiste,Jaama tn 5-6,23.7,1,2/2,,49000,2068
Harjumaa,Maardu,,,Kütte tn 8,80.4,3,2/2,1955,93900,1168
Harjumaa,Tallinn,Lasnamäe,,Sinimäe tn 1-42,54.1,3,6/10,2023,186900,3455
Harjumaa,Tallinn,Kesklinn,Kassisaba,Luise tn 13B,39.6,2,3/4,2025,237500,5997
Harjumaa,Maardu,,,Kellamäe tn 5,32.9,1,3/5,1988,75000,2280
Harjumaa,Tallinn,Lasnamäe,,Majaka tn 56,47.4,2,3/3,1950,121000,2553
Harjumaa,Tallinn,Mustamäe,,A. H. Tammsaare tee 127,30,1,3/5,1967,107000,3567
Harjumaa,Rae vald,Rae,,Väike-Rae tee 2/13-22,66.8,4,3/3,2024,226900,3397
Harjumaa,Tallinn,Mustamäe,,Ehitajate tee 45,57.7,3,3/5,1964,134500,2331
Harjumaa,Keila,,,Põhja tn 8a/2,69.8,2,4/4,2007,165000,2364
Harjumaa,Rae vald,Peetri,,Salu tee 62,63.2,3,1/2,2017,230000,3639
Harjumaa,Tallinn,Põhja-Tallinn,,Randla 15-709,16.6,1,7/8,1977,59900,3608
Harjumaa,Tallinn,Lasnamäe,,Virbi 12,75,3,3/14,,290000,3867
Tartumaa,Tartu,Tartu linn,Raadi-Kruusamäe,Vahi tn 64-8,75.4,3,3/5,2024,199900,2651
Pärnumaa,Pärnu,Kesklinn,,Õhtu põik 2,17.8,1,1/3,1958,59000,3315
Ida-Virumaa,Sillamäe,,,Ranna tn 25,31.5,1,3/4,1960,17800,565
Harjumaa,Jõelähtme vald,Loo alevik,,Saha tee 8-8,38.9,2,3/8,2026,138700,3566
Pärnumaa,Tori vald,Sindi linn,,Pärnu mnt 49-6,70.2,3,2/3,2024,210000,2991
Pärnumaa,Pärnu,Pärnu linn,,Rääma tn 7C/1-10,60.8,3,3/4,2025,269000,4424
Ida-Virumaa,Kohtla-Järve,Järve,,Aia 7,39.8,2,1/4,1963,8500,214
Pärnumaa,Pärnu,Pärnu linn,Mai,Mai 73,83.5,4,3/3,2024,315000,3772
Harjumaa,Lääne-Harju vald,Ämari,,Lennu 28,60.6,2,5/5,1976,83000,1370
Tartumaa,Tartu,Tartu linn,Annelinn,Kaunase pst 57,46.2,2,5/5,1981,76000,1645
Harjumaa,Tallinn,Haabersti,,Hanijala tn 9/2-18,50,2,3/3,2024,172900,3458
Harjumaa,Tallinn,Pirita,,Merivälja tee 38,127,4,3/3,2008,299500,2358
Viljandimaa,Mulgi vald,Õisu,,Ringi tn 9,77.3,3,3/3,1907,38999,505
Tartumaa,Kambja vald,Ülenurme,,Paruni tn 17-17,125.6,5,3/3,2024,249900,1990
Harjumaa,Tallinn,Kesklinn,,Pärnu mnt 125a,32.3,1,3/4,1961,98500,3050
Harjumaa,Tallinn,Lasnamäe,,Liikuri tn 8a,68,2,5/8,2006,159000,2338
Tartumaa,Tartu,Tartu linn,Kesklinn,Tähe tn 1,93.9,4,4/5,1968,227000,2417
Harjumaa,Keila,,,Niidu 3a,31.4,1,2/3,1985,74900,2385
Harjumaa,Tallinn,Haabersti,Kodulahe,Soodi tn 6/3-17,133.1,5,4/4,2025,689000,5177
Lääne-Virumaa,Rakvere,,,Laada 10,43.8,2,3/5,,59990,1370
Harjumaa,Keila,,,Männipargi tn 6-3,116,5,1/5,2025,314900,2715
Tartumaa,Tartu vald,Vedu,,Mõisa tn 12,90.5,5,3/3,1995,77000,851
Tartumaa,Tartu,Tartu linn,Annelinn,Kaunase pst. 18,46,2,5/5,1978,71000,1543
Harjumaa,Maardu,,,Nurga tn 8,63.8,3,4/9,1994,102000,1599
Läänemaa,Haapsalu,Haapsalu linn,,Jaani tn 4-1,90.1,3,1/3,2002,265500,2947
Pärnumaa,Pärnu,Pärnu linn,,Rääma tn 7C/2-1,64.9,3,2/5,2025,241000,3713
Harjumaa,Tallinn,Põhja-Tallinn,PELGULINN,Kolde pst 76,44,2,5/5,1966,121500,2761
Ida-Virumaa,Narva,,,Rakvere tn 42,28.5,1,3/5,1966,30000,1053
Harjumaa,Tallinn,Haabersti,Pikaliiva,Pikaliiva tn 7-31,43.1,2,4/4,2023,193990,4501
Saaremaa,Saaremaa vald,Kuressaare linn,,Tallinna tn 59-2,96.4,4,2/2,,180000,1867
Harjumaa,Tallinn,Haabersti,Kodulahe,Soodi tn 6/2-1,77.1,3,1/4,2025,359000,4656
Tartumaa,Tartu,Tartu linn,Annelinn,Mõisavahe tn 20,45.6,2,5/5,1982,80000,1754
Harjumaa,Tallinn,Mustamäe,,Sõpruse pst 222-21,75.7,4,7/17,1993,159900,2112
Harjumaa,Tallinn,Haabersti,Pikaliiva,Pikaliiva tn 5-13,45.9,2,2/4,2023,169990,3703
Võrumaa,Võru,,,F. R. Kreutzwaldi tn 59c,56.6,2,2/3,2021,109900,1942
Pärnumaa,Pärnu,Pärnu linn,Mai,Papiniidu tn 25,77.6,4,5/5,1999,105000,1353
Raplamaa,Kohila vald,Kohila,,Posti tn 12,53.1,2,5/5,1981,82000,1544
Harjumaa,Tallinn,Kesklinn,,Kauba 3,48.1,2,2/2,1930,117000,2432
Harjumaa,Tallinn,Pirita,,Põõsa tee 3/5-10,56.3,2,3/3,2023,270000,4796
Viljandimaa,Viljandi,,,Lossi 31,77.3,3,3/3,1947,215000,2781
Harjumaa,Tallinn,Kesklinn,Sikupilli,Lasnamäe tn 4b,56.5,2,5/13,2018,305000,5398
Harjumaa,Tallinn,Kesklinn,,Jakobi 17-16,99.9,4,5/5,2025,539000,5395
Lääne-Virumaa,Rakvere,,,Kastani 10a-4,57.1,2,2/4,2024,192998,3380
Harjumaa,Tallinn,Mustamäe,,Pöörise tn 3-42,53,3,7/12,2024,179000,3377
Pärnumaa,Tori vald,Sindi linn,,Pärnu mnt 62b,32.4,1,2/3,,45000,1389
Harjumaa,Tallinn,Põhja-Tallinn,,Lõime tn 20,30.1,1,1/4,1952,72000,2392
Ida-Virumaa,Kohtla-Järve,Ahtme,,Maleva tn 41,48.7,2,5/5,1982,35900,737
Ida-Virumaa,Kohtla-Järve,Ahtme,,Lehola tn 2,34.2,1,1/2,1950,18600,544
Tartumaa,Tartu,Tartu linn,Jaamamõisa,Lääne tn 14-21,52.9,3,3/4,2025,156990,2968
Tartumaa,Tartu,Tartu linn,Ülejõe,Ujula tn 51/1-5,62.1,3,2/4,2025,265000,4267
Ida-Virumaa,Narva,,,P. Kerese tn 36,46.7,2,4/5,1970,41000,878
Ida-Virumaa,Kohtla-Järve,Järve,,Olevi tn 25,26.4,1,5/5,1967,4900,186
Ida-Virumaa,Kohtla-Järve,Ahtme,,Estonia pst 14,61,3,2/5,1982,36000,590
Ida-Virumaa,Narva,,,Kivilinna tn 16,61.6,3,5/5,1989,66000,1071
Harjumaa,Tallinn,Lasnamäe,,Pae tn 35,59.9,3,1/5,1987,129000,2154
Harjumaa,Tallinn,Lasnamäe,,K. Kärberi tn 4,68,3,2/9,1984,133900,1969
Ida-Virumaa,Jõhvi vald,Jõhvi linn,,Vahe tn 10,39.2,2,3/4,1962,29900,763
Harjumaa,Tallinn,Põhja-Tallinn,Stroomi,Puhangu tn 8,12,1,2/5,1970,47000,3917
Harjumaa,Tallinn,Vanalinn,,Uus tn,283,5,0/2,,1450000,5124
Võrumaa,Võru vald,Osula,,Külvaja Külvaja,57.6,3,1/2,1977,34900,606
Harjumaa,Tallinn,Haabersti,,Lammi tn 8-36,129.6,5,3/4,2023,545000,4205
Harjumaa,Tallinn,Põhja-Tallinn,,Sitsi tn 28,26.7,1,2/5,1972,67000,2509
Harjumaa,Tallinn,Haabersti,,Õismäe tee 122,32.7,2,9/9,1976,99990,3058
Harjumaa,Tallinn,Põhja-Tallinn,,Manufaktuuri tn 7/2-97,34.4,1,2/6,2024,144900,4212
Harjumaa,Tallinn,Kesklinn,Uus-Veerenni,Tiiu tn 14/1-51,114.8,4,2/8,2024,560900,4886
Harjumaa,Viimsi vald,Haabneeme,,Kaluri tee 21-6,73.3,3,2/4,,364900,4978
Harjumaa,Tallinn,Kesklinn,Uus-Veerenni,Tiiu tn 14/1-43,109.7,5,8/8,2026,573900,5232
Harjumaa,Tallinn,Kesklinn,Südalinn,Pärnu mnt 38,97.7,3,3/6,1936,389000,3982
Harjumaa,Tallinn,Lasnamäe,Priisle,Linnamäe tee 81,64.4,3,8/9,1998,137500,2135
Pärnumaa,Pärnu,Kesklinn,Vanasadama kvartal,Kalda 4-42,68.8,3,5/5,2024,390000,5669
Jõgevamaa,Jõgeva vald,Torma,,Jõgeva maantee 4,51.7,3,2/2,1970,8800,170
Pärnumaa,Pärnu,Kesklinn,,Aida 5,70.1,2,5/8,,195000,2782
Tartumaa,Tartu,Tartu linn,Kesklinn,Raekoja plats 4-9,51.6,3,2/5,2025,269990,5232
Ida-Virumaa,Narva,,,Kreenholmi tn 15,47.3,3,2/4,1963,37000,782
Harjumaa,Tallinn,Kesklinn,,Väike-Ameerika tn 1,39.3,2,3/4,1961,139000,3537
Harjumaa,Tallinn,Haabersti,,Taludevahe 57-13,78.3,4,3/4,2024,325000,4151
Harjumaa,Tallinn,Kesklinn,,Jakobi tn 13,39.3,2,3/4,1961,84000,2137
Harjumaa,Tallinn,Haabersti,,Paldiski mnt 227c/3-98,56.6,3,9/10,2024,197000,3481
Harjumaa,Viimsi vald,Haabneeme,,Kaluri tee 21,61.8,2,1/4,2024,249000,4029
Ida-Virumaa,Kohtla-Järve,Järve,,Olevi tn 37,47,2,1/5,1970,19100,406
Harjumaa,Tallinn,Haabersti,,Päevalille 17-37,56,3,,2023,216000,3857
Harjumaa,Tallinn,Kesklinn,Kassisaba,Paldiski mnt 5,74.9,3,3/6,2014,299000,3992
Tartumaa,Tartu,Tartu linn,Kesklinn,Magasini 3,63,3,1/3,1811,200000,3175
Harjumaa,Tallinn,Lasnamäe,,Linnamäe tee 11,79.6,4,4/9,1989,150000,1884
Läänemaa,Haapsalu,Haapsalu linn,,Nurme tn 12a,65.7,3,4/4,1978,90000,1370
Pärnumaa,Pärnu,Pärnu linn,Ülejõe,Tähe 5,49.8,2,1/3,1968,87000,1747
Tartumaa,Tartu,,,Vaksali tn 8-M2,53,3,1/3,1947,155000,2925
Harjumaa,Tallinn,Nõmme,,Pääsküla 15,162.9,5,1/2,2021,425000,2609
Ida-Virumaa,Sillamäe,,,Kesk tn 51,36.1,2,3/4,1963,13000,360
Ida-Virumaa,Narva,,,Võidu prospekt 9,40.7,2,3/5,1966,33000,811
Ida-Virumaa,Narva,,,Võidu prospekt 8a,74.7,3,1/5,1967,69000,924
Ida-Virumaa,Jõhvi vald,Jõhvi linn,,Narva mnt 47,37.9,2,5/5,1973,34500,910
Harjumaa,Tallinn,Põhja-Tallinn,Sitsi,Niidi tn 40,46.6,2,3/5,1963,124900,2680
Pärnumaa,Pärnu,Kesklinn,,Riia mnt 78,56.2,3,3/5,1999,134000,2384
Harjumaa,Viimsi vald,Haabneeme,,Kivila tee 2-22,97,4,2/4,2024,399900,4123
Läänemaa,Haapsalu,Uuemõisa alevik,,Kaare tn 3,79,3,2/2,1976,84900,1075
Harjumaa,Tallinn,Kesklinn,,Pärnu mnt 127,38.9,2,1/4,1959,118000,3033
Harjumaa,Viimsi vald,Haabneeme,,Kaluri tee 21-14,111,4,3/4,,829900,7477
Harjumaa,Tallinn,Kristiine,,Talli tn 4,40.5,1,3/5,2023,176000,4346
Valgamaa,Valga vald,Valga linn,,Pärna pst 8,58.8,3,3/3,1981,42000,714
Harjumaa,Tallinn,,,Pae tn 22,44.3,3,5/5,1961,120900,2729
Harjumaa,Tallinn,Põhja-Tallinn,Kalamaja,Uus-Volta 8/3-4,75.3,3,1/5,2025,379900,5045
Tartumaa,Tartu,Tartu linn,Annelinn,Kaunase pst 63,45.9,2,4/5,1981,75000,1634
Harjumaa,Maardu,,,Noorte tn 7a,51.3,2,3/4,2020,164900,3214
Harjumaa,Tallinn,Põhja-Tallinn,,Vibu 2,50.5,2,1/4,2018,245000,4851
Harjumaa,Tallinn,Haabersti,Rocca al Mare,Volmre tn 20/1-38,65.8,3,4/4,2024,250000,3799
Harjumaa,Tallinn,Kristiine,,Seebi tn 32,56.2,3,2/5,,175000,3114
Harjumaa,Rae vald,Lagedi,,Jaama 10/1,65.3,3,2/3,2018,195000,2986
Harjumaa,Tallinn,Lasnamäe,,Sinimäe 1-26,48,2,5/10,2023,168000,3500
Järvamaa,Türi vald,Türi linn,,Tallinna 2,56.3,3,1/5,1972,47000,835
Ida-Virumaa,Narva,,,Rakvere tn 89,27,1,2/5,1971,17000,630
Ida-Virumaa,Kohtla-Järve,Järve,,Tuuslari tn 18,50.6,2,3/9,1982,9000,178
Tartumaa,Nõo vald,Tõravere,,Observatooriumi 5D-1,100.4,3,1/2,2023,179900,1792
Harjumaa,Tallinn,Kesklinn,,Sakala tn 7,99.4,3,6/7,2015,565000,5684
Harjumaa,Tallinn,Lasnamäe,,Mustakivi tee 25,41.3,2,4/12,2018,123000,2978
Harjumaa,Tallinn,Kesklinn,,Juhkentali tn 13-10,62.6,2,4/6,2025,309000,4936
Tartumaa,Tartu,Märja,,Aisa põik 10-17,39.1,2,5/5,2024,112000,2864
Harjumaa,Tallinn,Kristiine,,Kaarna tn 23,38.3,2,2/2,1961,90000,2350
Harjumaa,Tallinn,Kesklinn,,Juhkentali tn 13-8,48.1,2,3/6,2025,275000,5717
Viljandimaa,Viljandi,,,Vaksali tn 32,68.9,2,2/2,,54990,798
Tartumaa,Luunja vald,Veibri,,Uus-Veeriku tee 24,73.2,3,1/2,2006,150000,2049
Harjumaa,Tallinn,Põhja-Tallinn,,Manufaktuuri tn 7/1-24,48.4,2,2/6,2024,203900,4213
Harjumaa,Tallinn,Kesklinn,Tallinn-Väike,Türi tn 9/2-88,57.1,2,7/7,2023,233900,4096
Viljandimaa,Viljandi,,,Riia mnt 57,58.9,3,3/5,1984,87000,1477
Harjumaa,Tallinn,Lasnamäe,,Mustakivi tee 25,73.8,3,10/12,2018,210000,2846
Harjumaa,Tallinn,Kesklinn,,Viru tn 14,81.1,2,4/4,2001,349500,4309
Harjumaa,Tallinn,Mustamäe,,Sõpruse pst 206,43.8,2,4/5,1968,122976,2808
Pärnumaa,Pärnu,Pärnu linn,Kesklinn,Riia mnt 14/1,79.3,3,1/2,1930,136000,1715
Saaremaa,Saaremaa vald,Kuressaare linn,,Tallinna 29 a,205.3,7,0/3,1991,215000,1047
Pärnumaa,Pärnu,Kesklinn,,Riia mnt 30,105.2,4,3/3,2019,289000,2747
Pärnumaa,Pärnu,Pärnu linn,Mai,Mai tn 79-20,57.2,3,3/3,2024,195000,3409
Harjumaa,Tallinn,Põhja-Tallinn,,Liinivahe tn 5-13,81.5,4,3/4,2023,327200,4015
Lääne-Virumaa,Rakvere,,,Kastani pst 15,57.6,2,2/2,2024,175000,3038
Harjumaa,Tallinn,Pirita,Regati,Regati pst. 5/4-11,70.6,3,3/3,,479000,6785
Harjumaa,Tallinn,Põhja-Tallinn,,Kopli 77,24.5,1,2/4,1914,124000,5061
Võrumaa,Võru,,,Tartu 40,49.8,3,4/4,1966,69900,1404
Tartumaa,Tartu,Karlova,,Võru 38,27.6,1,1/2,1910,67500,2446
Raplamaa,Kohila vald,Kohila,,Vabaduse tn 14a,35.1,2,1/2,1957,45000,1282
Pärnumaa,Pärnu,Lavassaare,,Pärna tn 3,37.8,2,2/2,1960,34000,899
Viljandimaa,Viljandi,,,Riia mnt 32,65.2,3,5/5,1984,79000,1212
Ida-Virumaa,Jõhvi vald,Jõhvi linn,,Hariduse 4,38.7,2,5/5,1964,35000,904
Tartumaa,Tartu,Tartu linn,Jaamamõisa,Põhja pst 8,60.6,3,4/5,1995,122790,2026
Harjumaa,Tallinn,Kesklinn,Uus-Veerenni,Tiiu tn 14/1-12,55.1,2,4/8,2026,269900,4898
Harjumaa,Lääne-Harju vald,Paldiski linn,,Sadama tn 19,40.6,2,2/4,1987,62900,1549
Harjumaa,Tallinn,Kesklinn,,Juhkentali tn 13-15,112,4,6/6,2025,599000,5348
Harjumaa,Tallinn,Põhja-Tallinn,,Tööstuse tn 77,100.4,7,,,49000,488
Harjumaa,Tallinn,Kristiine,Lilleküla,Nõmme tee 70-3,40.4,2,1/3,2023,199900,4948
Harjumaa,Keila,,,Männipargi tn 6-10,67.2,3,3/5,2025,199900,2975
Harjumaa,Tallinn,Lasnamäe,,Mahtra 54,64.9,3,5/9,1982,110000,1695
Tartumaa,Tartu,Annelinn,,Jaama 167-54,68.3,3,,2023,175000,2562
Harjumaa,Tallinn,Põhja-Tallinn,,Puhangu tn 65,29.8,1,1/5,1972,85000,2852
Harjumaa,Anija vald,Kehra linn,,Turu tn 2,27.7,1,2/2,1938,29900,1079
Harjumaa,Tallinn,Kesklinn,Südalinn,Roosikrantsi 9,110.3,4,4/7,2004,350000,3173
Harjumaa,Anija vald,Aegviidu,,Ranna tee 6-2,81.6,4,1/1,2024,224000,2745
Pärnumaa,Pärnu,Pärnu linn,Mai,Mai 73,54.2,2,2/3,2024,212000,3911
Harjumaa,Tallinn,Lasnamäe,,Punane 33,49.9,2,7/9,1978,93900,1882
Harjumaa,Tallinn,Põhja-Tallinn,,Sõle tn 9,39.3,2,5/5,1964,113500,2888
Tartumaa,Tartu,Tartu linn,Annelinn,Kaunase puiestee 10,65.8,3,3/5,1977,105000,1596
Pärnumaa,Tori vald,Sindi linn,,Kooli tn 7,27.5,1,5/5,1971,39800,1447
Pärnumaa,Tori vald,Sauga,,Hirvela tn 16,49.3,2,1/3,2007,84000,1704
Valgamaa,Valga vald,Valga linn,,Pargi tn 10,25.9,1,1/3,1975,21900,846
Harjumaa,Tallinn,Mustamäe,,Mustamäe tee 193,43.8,2,1/5,1966,110000,2511
