Province,City,District,Sub-District,Street,Sqm,Rooms,Floor,Year Built,Price,Price per SqM
Harjumaa,Tallinn,Kesklinn,Raua,Narva mnt 38,73.7,3,4/7,1982,245000,3324
Harjumaa,Tallinn,Kesklinn,,Lubja 9-1,21,1,2/2,,85000,4048
Harjumaa,Rae vald,Peetri,,Sinilille tee 2/1-2,96,4,1/2,2017,295000,3073
Ida-Virumaa,Narva,,,Energia 2a,36.3,1,4/10,1992,25500,702
Harjumaa,Maardu,,,Stardi 5,30.9,1,1/5,,67000,2168
Tartumaa,Kambja vald,Soinaste,,Rehetare tee 1,39,1,3/4,2014,94700,2428
Harjumaa,Tallinn,Kesklinn,,Võistluse tn 6/1,71.3,3,3/14,2020,249900,3505
Tartumaa,Tartu,Tartu linn,Annelinn,Jaama 179,45.7,2,8/9,1988,85000,1860
Harjumaa,Harku vald,Tiskre,,Tõrvalille tn 6-5,85.5,4,2/2,2024,295000,3450
Järvamaa,Järva vald,Albu,,Männi 1,42.8,2,1/3,,19999,467
Harjumaa,Tallinn,Kristiine,Kristiine City,Sammu tn 8-6,102.3,4,2/7,2025,369313,3610
Harjumaa,Tallinn,Lasnamäe,Tondiraba,Arbu tn 2,64.6,4,8/9,1981,164900,2553
Viljandimaa,Viljandi vald,Kolga-Jaani,,Apteegi tn 1a,50,3,3/3,1993,11000,220
Pärnumaa,Põhja-Pärnumaa vald,Tootsi,,Tuleviku tn 2-9,27.1,1,3/3,1960,35499,1310
Harjumaa,Tallinn,Lasnamäe,Mustakivi,Mustakivi tee 25,37.2,2,10/12,,115000,3091
Harjumaa,Tallinn,Mustamäe,VÄGA HEA ASUKOHT,Sõpruse pst 220,61.3,3,1/5,1968,122500,1998
Harjumaa,Tallinn,Kesklinn,,Juurdeveo 19,28.8,1,2/4,2011,145000,5035
Harjumaa,Tallinn,Nõmme,,Põllu tn 128,43,2,3/4,1988,114000,2651
Läänemaa,Haapsalu,Haapsalu linn,,Nurme 12,65.9,3,2/4,1978,139900,2123
Harjumaa,Tallinn,Haabersti,Väike-Õismäe,Paldiski mnt 155,52.9,2,5/5,1977,94000,1777
Harjumaa,Tallinn,Põhja-Tallinn,,Tööstuse tn 43,33,1,4/4,1951,115000,3485
Ida-Virumaa,Sillamäe,,,Viru 20,27.8,1,2/5,1972,8500,306
Harjumaa,Tallinn,Lasnamäe,,K. Kärberi tn 4,64.9,3,2/9,1984,137000,2111
Harjumaa,Saue vald,Saue linn,,Kütise tn 9,78.6,4,1/3,1980,154000,1959
Lääne-Virumaa,Viru-Nigula vald,Rannu,,Sureli 5-10,86,4,1/2,,40000,465
Harjumaa,Tallinn,Vanalinn,,Lai 43,187.7,4,4/4,1870,850000,4529
Harjumaa,Tallinn,Kristiine,,Seebi tn 28-17,37.2,3,1/5,1961,129900,3492
Harjumaa,Lääne-Harju vald,Paldiski linn,,Sadama tn 17,39.8,2,5/5,,48900,1229
Valgamaa,Tõrva vald,Patküla,,Pargi tee 3,71.9,4,2/2,1980,18900,263
Harjumaa,Tallinn,Kristiine,Südalinn,Tatari tn 30,111,4,2/4,2009,460000,4144
Harjumaa,Kiili vald,Luige,,Männi tn 1,86.1,4,1/2,2003,199500,2317
Järvamaa,Paide,Roosna-Alliku,,Nooruse 8-2,40.8,2,1/2,1984,17000,417
Pärnumaa,Pärnu,Pärnu linn,Rääma,Rohu tn 44,33.2,2,2/5,1968,55000,1657
Pärnumaa,Pärnu,Pärnu linn,Ülejõe,Rõugu tn 26,39.2,2,4/4,1976,92000,2347
Harjumaa,Tallinn,Kesklinn,,Pärnu mnt 76,47.8,3,2/5,1963,142000,2971
Lääne-Virumaa,Haljala vald,Essu,,Mõisa 5-6,41.8,2,1/2,1975,13500,323
Harjumaa,Tallinn,Lasnamäe,Tondiraba,Alvari 35,65,3,7/7,1994,160000,2462
Võrumaa,Võru,,,Liiva tn 12c,32.5,2,3/3,1981,53000,1631
Pärnumaa,Pärnu,Pärnu linn,Kesklinn,Väike-Veski tn 24a,93.6,4,4/4,1972,160000,1709
Tartumaa,Tartu vald,Raadi,,Pärna allee 4-19,55.4,2,1/3,2007,133000,2401
Harjumaa,Tallinn,Lasnamäe,,Liikuri tn 10a,103.2,5,1/8,2021,369900,3584
Harjumaa,Tallinn,Mustamäe,,Mustamäe tee 185a,60.9,3,5/5,1973,124000,2036
Harjumaa,Tallinn,Mustamäe,,Sõpruse pst 233,29.9,1,5/5,1968,82000,2742
Tartumaa,Tartu,Tartu linn,Annelinn,Kaunase pst 36,49.1,2,4/5,1980,75500,1538
Läänemaa,Haapsalu,Haapsalu linn,,Tamme tn 17,26.9,1,2/5,1969,45000,1673
Ida-Virumaa,Narva-Jõesuu,Narva-Jõesuu linn,,Sepa tn 14,49,2,4/5,1979,44000,898
Pärnumaa,Pärnu,Pärnu linn,Raeküla,Riia mnt 269,118.3,3,2/3,1950,128000,1082
Harjumaa,Tallinn,Põhja-Tallinn,Kalamaja,Uus-Volta 9/2-307,23.3,1,3/1,2023,169900,7292
Saaremaa,Saaremaa vald,Orissaare,,Kuivastu mnt. 9b-5,77.9,3,3/3,1983,124600,1599
Harjumaa,Tallinn,Mustamäe,,Vilde tee 78-69,43.6,2,4/5,1965,108000,2477
Harjumaa,Maardu,,,Kallasmaa 5,47.9,3,4/4,,75000,1566
Harjumaa,Tallinn,Haabersti,Rocca Towers,Päevalille 10-73,43.6,2,15/16,2024,249900,5732
Harjumaa,Tallinn,Kesklinn,,Lastekodu 31/2-112,106,4,5/5,2023,452000,4264
Harjumaa,Tallinn,Kesklinn,,A. Lauteri tn 8,77.8,3,2/5,1959,322000,4139
Põlvamaa,Kanepi vald,Kanepi,,Kooli 6a,54,3,1/2,1971,39900,739
Läänemaa,Haapsalu,Haapsalu linn,,Niine tn 36,47,2,5/5,1970,59000,1255
Harjumaa,Tallinn,Kadriorg,,Narva mnt 120-58,42.4,2,5/5,2025,279000,6580
Harjumaa,Tallinn,Mustamäe,,J. Sütiste tee 9,29.9,1,4/5,1970,95000,3177
Lääne-Virumaa,Rakvere,,,Lai tn 32,78.4,3,1/3,2023,235200,3000
Harjumaa,Tallinn,Lasnamäe,,Liikuri tn 18b,70.4,4,1/4,2020,235990,3352
Lääne-Virumaa,Vinni vald,Inju,,1,42.6,2,1/2,,33000,775
Viljandimaa,Mulgi vald,Karksi-Nuia linn,,Lõuna tn 1-2,50.8,2,1/2,1974,23000,453
Harjumaa,Tallinn,Nõmme,,Ilmarise tn 5,53.4,3,3/5,1972,149700,2803
Harjumaa,Viimsi vald,Viimsi,,Hüatsindi tee 2,52.9,2,1/2,2018,194900,3684
Võrumaa,Võru,,,F. R. Kreutzwaldi tn 58b-47,57.1,3,3/5,1968,69000,1208
Ida-Virumaa,Narva,,,Vahtra tn 8,67.3,3,3/9,1980,82000,1218
Jõgevamaa,Jõgeva vald,Jõgeva linn,,Pargi tn 18-8,52.4,3,3/3,1963,43000,821
Põlvamaa,Põlva vald,Peri,,Mõisa tee 10,76.2,4,2/3,1986,42000,551
Harjumaa,Tallinn,Kesklinn,,Vesivärava tn 50,95.7,4,6/9,2020,449000,4692
Pärnumaa,Pärnu,Pärnu linn,Ülejõe,Uus-Sauga tn 39a,37.6,2,1/4,1975,87000,2314
Harjumaa,Tallinn,Haabersti,,Tasandi tn 8-15,45.5,2,5/5,2021,169990,3736
Pärnumaa,Põhja-Pärnumaa vald,Tootsi,,Ehitajate 2,61.2,3,2/5,1967,39900,652
Harjumaa,Lääne-Harju vald,Paldiski linn,,Peetri tn 28,47.6,2,1/5,1987,69000,1450
Järvamaa,Türi vald,Särevere,,Jõe 17,49,2,1/5,1986,23000,469
Harjumaa,Tallinn,Haabersti,Rocca Towers,Päevalille 10-60,44.2,2,12/16,2024,214900,4862
Harjumaa,Tallinn,Põhja-Tallinn,,Staapli tn 4,131.6,4,3/6,2018,1090000,8283
Pärnumaa,Häädemeeste vald,Kabli,,Mustamäe tee 9,58,3,2/3,,54000,931
Harjumaa,Viimsi vald,Haabneeme,,Kivila tee 2-21,73.2,3,2/4,,274900,3755
Ida-Virumaa,Toila vald,Voka alevik,,Narva mnt 9,48.5,3,3/4,1970,22900,472
Ida-Virumaa,Kohtla-Järve,Ahtme,iidla,Maleva 35,31.5,1,4/5,,8500,270
Pärnumaa,Pärnu,Pärnu linn,Rannarajoon,A. H. Tammsaare pst 34,48.1,2,5/5,1968,120000,2495
Tartumaa,Tartu,Tartu linn,Tammelinn,Riia tn 61,127,4,,2024,480000,3780
Harjumaa,Tallinn,Lasnamäe,,Ümera tn 22,52.7,2,4/5,1987,92000,1746
